botStrategy,skillPolicy,ghostXpComboCap,xpCurveMultiplier,xpGainMultiplier,singularityTriggerKills,replicate,games,finalLevel,careerGhosts,campaignSeconds,campaignXp,campaignXpPerMinute,averageRunSeconds,medianRunXp,averageRunKills,averageRunDeaths,averageDotsCollected,singularityRunRate,gameOverRate,deltaXpPerMinutePctVsNoSkills,deltaLevelVsNoSkills,secondsToLevel5,secondsToLevel10,secondsToLevel20,secondsToLevel35,secondsToLevel50,secondsToLevel75,secondsToLevel100
collector,none,16,1,1,20,1,25,19,996,1797.3666666666293,267588,8932.668162682628,71.89466666666517,2567,39.84,3.56,166.04,0.28,0.96,0,0,290.83333333332706,290.83333333332706,,,,,
collector,none,16,1,1,20,2,25,18,890,1606.0666666666395,234814,8772.263500892597,64.24266666666558,2071,35.6,3.48,153.44,0.24,0.96,0,0,329.7666666666607,462.3666666666583,,,,,
collector,none,64,1,1,20,1,25,30,1004,1816.9333333332945,765135,25266.804872679782,72.67733333333177,2170,40.16,3.64,166.56,0.28,0.92,0,0,285.699999999994,285.699999999994,405.7333333333231,,,,
collector,none,64,1,1,20,2,25,29,898,1597.9333333333068,719021,26998.160123493293,63.91733333333227,1752,35.92,3.72,150.12,0.24,0.96,0,0,329.7666666666607,329.7666666666607,806.8999999999849,,,,
collector,balanced,16,1,1,20,1,25,24,1738,2066.23333333328,463494,13459.099488602798,82.6493333333312,3351,69.52,3.56,182.32,0.48,0.88,48.72345359857856,5,292.09999999999366,455.19999999998953,1267.6999999999691,,,,
collector,balanced,16,1,1,20,2,25,23,1505,1879.8666666666243,403401,12875.413149869075,75.19466666666497,2902,60.2,3.72,174,0.44,0.92,48.72345359857856,5,310.96666666665925,310.96666666665925,1454.6666666666329,,,,
collector,balanced,64,1,1,20,1,25,39,1749,2111.2999999999442,1476121,41949.15928574923,84.45199999999777,3351,69.96,3.76,180.76,0.48,0.8,50.17643714056103,7.5,292.09999999999366,455.19999999998953,726.4999999999818,1763.0999999999563,,,
collector,balanced,64,1,1,20,2,25,35,1527,1914.2333333332888,1157030,36266.11175927784,76.56933333333156,2902,61.08,3.8,174.04,0.44,0.84,50.17643714056103,7.5,310.96666666665925,310.96666666665925,526.8333333333188,1914.2333333332888,,,
